region	chr	midPos	Nsites
(540,1083)(197168,198096)(150000,200000)	JASDQU010241489.1	175000	545	0.481579
(343,939)(68527,96871)(50000,100000)	JASDQU010241596.1	75000	598	0.039466
(619,1109)(50000,51933)(50000,100000)	JASDQU010241599.1	75000	492	0.080430
(955,1622)(172022,172780)(150000,200000)	JASDQU010241624.1	175000	669	0.013573
(726,886)(115850,116018)(100000,150000)	JASDQU010241676.1	125000	162	0.165022
(659,968)(131189,131567)(100000,150000)	JASDQU010241677.1	125000	311	0.110869
(507,649)(68717,68869)(50000,100000)	JASDQU010241678.1	75000	144	0.117600
(4965,6979)(69038,87785)(50000,100000)	JASDQU010241681.1	75000	2016	0.253408
(374,3280)(73696,79461)(50000,100000)	JASDQU010241714.1	75000	2908	0.682885
(1009,1924)(112290,141079)(100000,150000)	JASDQU010241723.1	125000	917	0.131202
(1236,1716)(250013,255085)(250000,300000)	JASDQU010241738.1	275000	482	0.277740
(187,282)(213265,213362)(200000,250000)	JASDQU010241757.1	225000	97	0.038379
(124,771)(115817,123544)(100000,150000)	JASDQU010241761.1	125000	649	0.274074
(1482,2482)(89022,90065)(50000,100000)	JASDQU010241796.1	75000	1002	0.369215
(211,1548)(65230,66678)(50000,100000)	JASDQU010241817.1	75000	1339	0.391704
(1406,1647)(154697,155073)(150000,200000)	JASDQU010241819.1	175000	243	0.046819
(699,1181)(178233,178724)(150000,200000)	JASDQU010241821.1	175000	484	0.094233
(5303,5833)(118474,119025)(100000,150000)	JASDQU010241830.1	125000	532	0.164382
(57,2837)(80583,87929)(50000,100000)	JASDQU010241919.1	75000	2782	0.200069
(421,1151)(80182,80916)(50000,100000)	JASDQU010241978.1	75000	732	0.086679
(109,4270)(50000,60123)(50000,100000)	JASDQU010242042.1	75000	4163	0.273866
(765,1015)(154874,155125)(150000,200000)	JASDQU010242113.1	175000	252	0.027290
(2672,3305)(290199,290849)(250000,300000)	JASDQU010242150.1	275000	635	0.150819
(1465,2949)(100000,101486)(100000,150000)	JASDQU010242161.1	125000	1486	0.304035
(242,1275)(109904,127775)(100000,150000)	JASDQU010242171.1	125000	1035	0.102357
(182,2866)(335359,338527)(300000,350000)	JASDQU010242224.1	325000	2686	0.326766
(966,1268)(116908,149999)(100000,150000)	JASDQU010242248.1	125000	304	0.475379
(2537,3353)(143369,144690)(100000,150000)	JASDQU010242256.1	125000	818	0.009753
(51,875)(58356,59226)(50000,100000)	JASDQU010242262.1	75000	826	0.319972
(78,513)(68650,69181)(50000,100000)	JASDQU010242311.1	75000	437	0.006370
(1388,2583)(96900,98133)(50000,100000)	JASDQU010242316.1	75000	1197	0.152156
(494,3563)(74198,79588)(50000,100000)	JASDQU010242322.1	75000	3071	-0.020922
(938,1835)(216217,217153)(200000,250000)	JASDQU010242333.1	225000	899	0.604105
(142,761)(62106,62764)(50000,100000)	JASDQU010242370.1	75000	621	0.193291
(44,538)(179757,180363)(150000,200000)	JASDQU010242383.1	175000	496	0.025795
(181,624)(58121,62132)(50000,100000)	JASDQU010242386.1	75000	445	0.021397
(2199,3208)(63172,99837)(50000,100000)	JASDQU010242389.1	75000	1011	0.082025
(575,692)(56088,56215)(50000,100000)	JASDQU010242395.1	75000	119	0.045336
(395,582)(51659,52058)(50000,100000)	JASDQU010242400.1	75000	189	0.143062
(65,375)(150845,151155)(150000,200000)	JASDQU010242421.1	175000	312	0.196130
(692,733)(99363,99431)(50000,100000)	JASDQU010242445.1	75000	43	0.139589
(1802,2878)(50000,52047)(50000,100000)	JASDQU010242544.1	75000	1078	0.258497
(34,542)(74196,94379)(50000,100000)	JASDQU010242617.1	75000	510	0.083575
(1730,2471)(153545,154311)(150000,200000)	JASDQU010242667.1	175000	743	0.372829
(303,1387)(53803,54942)(50000,100000)	JASDQU010242680.1	75000	1086	0.297831
(233,1160)(76093,78413)(50000,100000)	JASDQU010242706.1	75000	929	0.167046
(1205,1558)(78592,78949)(50000,100000)	JASDQU010242714.1	75000	355	0.040687
(2195,2289)(162704,162802)(150000,200000)	JASDQU010242727.1	175000	96	0.091582
(832,1110)(116084,116374)(100000,150000)	JASDQU010242735.1	125000	280	0.074206
(1199,1229)(150000,150031)(150000,200000)	JASDQU010242754.1	175000	32	0.067551
(1830,2050)(99757,99999)(50000,100000)	JASDQU010242770.1	75000	222	0.374082
(912,1300)(105080,105498)(100000,150000)	JASDQU010242775.1	125000	390	0.392298
(258,297)(269447,269518)(250000,300000)	JASDQU010242780.1	275000	41	0.020383
(438,671)(104981,118513)(100000,150000)	JASDQU010242785.1	125000	235	-0.000523
(1668,1727)(68044,68127)(50000,100000)	JASDQU010242789.1	75000	61	0.088053
(402,427)(113485,113515)(100000,150000)	JASDQU010242812.1	125000	27	0.092014
(448,1427)(89390,90371)(50000,100000)	JASDQU010242817.1	75000	981	0.190140
(558,1058)(53141,53819)(50000,100000)	JASDQU010242833.1	75000	502	0.145744
(1246,4025)(57346,99242)(50000,100000)	JASDQU010242859.1	75000	2781	0.133799
(4026,4252)(114482,144600)(100000,150000)	JASDQU010242859.1	125000	228	0.152500
(329,1147)(56904,62773)(50000,100000)	JASDQU010242875.1	75000	820	0.158566
(1001,4963)(50883,86979)(50000,100000)	JASDQU010242882.1	75000	3964	0.299814
(1337,1490)(59361,59522)(50000,100000)	JASDQU010242903.1	75000	155	0.020595
(716,3026)(53804,61185)(50000,100000)	JASDQU010242954.1	75000	2312	0.366115
(344,893)(157612,158181)(150000,200000)	JASDQU010243083.1	175000	551	0.046200
(825,2197)(81483,85269)(50000,100000)	JASDQU010243103.1	75000	1374	0.144261
(1501,1991)(194086,194682)(150000,200000)	JASDQU010243127.1	175000	492	0.031642
(692,903)(119676,119892)(100000,150000)	JASDQU010243175.1	125000	213	0.057788
(948,1834)(54493,58330)(50000,100000)	JASDQU010243213.1	75000	888	0.193181
(232,369)(54691,54830)(50000,100000)	JASDQU010243242.1	75000	139	-0.002596
(370,788)(102261,103406)(100000,150000)	JASDQU010243242.1	125000	420	0.047223
(789,873)(180847,180939)(150000,200000)	JASDQU010243242.1	175000	86	0.092779
(874,1335)(230183,241189)(200000,250000)	JASDQU010243242.1	225000	463	0.109890
(490,782)(74261,74575)(50000,100000)	JASDQU010243251.1	75000	294	0.146492
(431,1256)(59696,76573)(50000,100000)	JASDQU010243258.1	75000	827	0.315564
(895,2629)(102408,104912)(100000,150000)	JASDQU010243271.1	125000	1736	0.031684
(121,666)(251372,251923)(250000,300000)	JASDQU010243277.1	275000	547	0.141221
(276,1303)(93639,94704)(50000,100000)	JASDQU010243296.1	75000	1029	0.024420
(3,101)(50008,50130)(50000,100000)	JASDQU010243300.1	75000	100	0.031464
(1868,1931)(54563,54761)(50000,100000)	JASDQU010243336.1	75000	65	0.033473
(648,1772)(108773,109910)(100000,150000)	JASDQU010243346.1	125000	1126	0.185675
(1217,1359)(58199,58367)(50000,100000)	JASDQU010243372.1	75000	144	-0.004260
(29,152)(86515,86646)(50000,100000)	JASDQU010243395.1	75000	125	0.036954
(327,620)(72272,72647)(50000,100000)	JASDQU010243503.1	75000	295	0.024117
(1840,2435)(135486,136082)(100000,150000)	JASDQU010243590.1	125000	597	0.209101
(449,1731)(125615,126912)(100000,150000)	JASDQU010243633.1	125000	1284	0.082903
(784,5217)(151273,157290)(150000,200000)	JASDQU010243648.1	175000	4435	0.358558
(779,1854)(83186,86131)(50000,100000)	JASDQU010243661.1	75000	1077	0.123513
(996,1043)(100000,100049)(100000,150000)	JASDQU010243670.1	125000	49	0.320185
(1726,2366)(85175,93940)(50000,100000)	JASDQU010243695.1	75000	642	0.218876
(763,1877)(163856,164976)(150000,200000)	JASDQU010243735.1	175000	1116	0.206190
(261,1853)(52615,69154)(50000,100000)	JASDQU010243750.1	75000	1594	0.207512
(1177,1483)(90270,90607)(50000,100000)	JASDQU010243751.1	75000	308	0.009801
(291,803)(53319,53874)(50000,100000)	JASDQU010243760.1	75000	514	0.465281
(973,1996)(66447,67472)(50000,100000)	JASDQU010243790.1	75000	1025	0.298532
(141,1267)(266649,267866)(250000,300000)	JASDQU010243813.1	275000	1128	0.203356
(108,461)(91665,92030)(50000,100000)	JASDQU010243827.1	75000	355	0.072765
(462,2482)(197126,199221)(150000,200000)	JASDQU010243827.1	175000	2022	0.420425
(90,102)(72013,72032)(50000,100000)	JASDQU010243840.1	75000	14	0.033889
(713,1147)(69017,69484)(50000,100000)	JASDQU010243875.1	75000	436	0.014391
(1610,1794)(183481,196704)(150000,200000)	JASDQU010243892.1	175000	186	0.261520
(1093,1725)(141252,149301)(100000,150000)	JASDQU010243897.1	125000	634	0.215206
(436,1430)(54299,55300)(50000,100000)	JASDQU010243916.1	75000	996	0.244240
(416,779)(142996,143391)(100000,150000)	JASDQU010243940.1	125000	365	0.131692
(2706,3985)(50000,51497)(50000,100000)	JASDQU010243970.1	75000	1281	0.713209
(888,1787)(78794,79739)(50000,100000)	JASDQU010243981.1	75000	901	0.252595
(258,1344)(55333,56972)(50000,100000)	JASDQU010244021.1	75000	1088	0.343006
(496,607)(50649,50794)(50000,100000)	JASDQU010244023.1	75000	113	0.057113
(687,786)(101488,101592)(100000,150000)	JASDQU010244024.1	125000	101	-0.008262
(2399,3139)(149185,149932)(100000,150000)	JASDQU010244035.1	125000	742	0.322533
(3140,3210)(171656,171983)(150000,200000)	JASDQU010244035.1	175000	72	0.149274
(413,1565)(102459,103841)(100000,150000)	JASDQU010244055.1	125000	1154	-0.009471
(1152,1992)(75255,77024)(50000,100000)	JASDQU010244080.1	75000	842	0.139521
(1141,2618)(50891,55654)(50000,100000)	JASDQU010244095.1	75000	1479	0.040431
(841,2547)(50802,93312)(50000,100000)	JASDQU010244097.1	75000	1708	0.250600
(1005,1827)(157244,158085)(150000,200000)	JASDQU010244108.1	175000	824	0.650075
(175,1998)(172800,178954)(150000,200000)	JASDQU010244142.1	175000	1825	0.132227
(93,191)(50000,50100)(50000,100000)	JASDQU010244155.1	75000	100	0.050114
(9,1440)(101652,128624)(100000,150000)	JASDQU010244198.1	125000	1433	0.044259
(42,315)(88301,88610)(50000,100000)	JASDQU010244205.1	75000	275	0.463815
(47,415)(118508,118982)(100000,150000)	JASDQU010244218.1	125000	370	0.213187
(416,628)(296024,296238)(250000,300000)	JASDQU010244218.1	275000	214	0.112971
(826,1237)(74123,96342)(50000,100000)	JASDQU010244220.1	75000	413	0.015759
(59,3312)(105663,111322)(100000,150000)	JASDQU010244262.1	125000	3255	0.088163
(1276,1884)(70107,70740)(50000,100000)	JASDQU010244318.1	75000	610	0.172142
(2492,2803)(177519,177923)(150000,200000)	JASDQU010244334.1	175000	313	0.444747
(114,912)(50000,51621)(50000,100000)	JASDQU010244370.1	75000	800	0.201717
(114,909)(150000,150953)(150000,200000)	JASDQU010244375.1	175000	797	0.242301
(4109,4326)(112186,145392)(100000,150000)	JASDQU010244413.1	125000	219	0.221277
(4100,4761)(73641,98426)(50000,100000)	JASDQU010244417.1	75000	663	0.012352
(591,1472)(53704,54594)(50000,100000)	JASDQU010244469.1	75000	883	0.164052
(3371,3435)(226422,226489)(200000,250000)	JASDQU010244496.1	225000	66	0.064690
(164,410)(236702,237171)(200000,250000)	JASDQU010244500.1	225000	248	0.067620
(384,1063)(59136,91256)(50000,100000)	JASDQU010244547.1	75000	681	0.044084
(1064,1215)(118714,118865)(100000,150000)	JASDQU010244547.1	125000	153	0.026771
(176,1523)(50001,72202)(50000,100000)	JASDQU010244557.1	75000	1349	0.483004
(872,8137)(67307,79330)(50000,100000)	JASDQU010244563.1	75000	7267	0.144320
(218,375)(99823,99988)(50000,100000)	JASDQU010244567.1	75000	159	0.141077
(719,768)(100887,101110)(100000,150000)	JASDQU010244578.1	125000	51	0.055475
(106,505)(144195,144609)(100000,150000)	JASDQU010244581.1	125000	401	0.044179
(194,503)(120520,144683)(100000,150000)	JASDQU010244641.1	125000	311	0.063342
(336,1139)(55379,60717)(50000,100000)	JASDQU010244684.1	75000	805	0.346861
(242,319)(73697,73792)(50000,100000)	JASDQU010244705.1	75000	79	0.032941
(946,2233)(134087,138755)(100000,150000)	JASDQU010244761.1	125000	1289	0.163449
(884,1455)(106696,107273)(100000,150000)	JASDQU010244766.1	125000	573	0.246809
(731,2686)(53513,55472)(50000,100000)	JASDQU010244788.1	75000	1957	0.050430
(413,791)(50000,50382)(50000,100000)	JASDQU010244794.1	75000	380	0.456640
(363,642)(53175,53477)(50000,100000)	JASDQU010244800.1	75000	281	0.065870
(103,228)(69094,69220)(50000,100000)	JASDQU010244825.1	75000	127	0.300625
(788,1304)(140687,141204)(100000,150000)	JASDQU010244892.1	125000	518	0.404055
(403,405)(150000,150002)(150000,200000)	JASDQU010244957.1	175000	4	0.031795
(122,266)(214122,214269)(200000,250000)	JASDQU010244960.1	225000	146	0.206927
(90,1289)(88297,93224)(50000,100000)	JASDQU010244966.1	75000	1201	0.171974
(147,1180)(91210,92260)(50000,100000)	JASDQU010244996.1	75000	1035	0.115698
(182,258)(283541,283651)(250000,300000)	JASDQU010245036.1	275000	78	0.011579
(475,513)(178663,178704)(150000,200000)	JASDQU010245045.1	175000	40	0.022445
(574,791)(220308,220531)(200000,250000)	JASDQU010245108.1	225000	219	0.295913
(3569,4641)(80013,89581)(50000,100000)	JASDQU010245110.1	75000	1074	0.116695
(779,1242)(56717,57253)(50000,100000)	JASDQU010245134.1	75000	465	0.018193
(580,602)(78176,78221)(50000,100000)	JASDQU010245135.1	75000	24	0.038498
(369,2742)(101137,103519)(100000,150000)	JASDQU010245138.1	125000	2375	0.425739
(699,860)(120355,120520)(100000,150000)	JASDQU010245179.1	125000	163	0.020309
(256,845)(50000,50591)(50000,100000)	JASDQU010245186.1	75000	591	0.027604
(1616,3603)(62203,64499)(50000,100000)	JASDQU010245191.1	75000	1989	0.459377
(260,894)(66139,66845)(50000,100000)	JASDQU010245203.1	75000	636	0.687786
(685,896)(74729,84558)(50000,100000)	JASDQU010245205.1	75000	213	0.023070
(280,1577)(103856,105649)(100000,150000)	JASDQU010245209.1	125000	1299	0.758243
(269,823)(67971,68529)(50000,100000)	JASDQU010245273.1	75000	556	0.181860
(85,237)(86948,87125)(50000,100000)	JASDQU010245282.1	75000	154	0.008124
(238,359)(124434,124560)(100000,150000)	JASDQU010245282.1	125000	123	0.014682
(979,1185)(64895,65116)(50000,100000)	JASDQU010245312.1	75000	208	0.615415
(185,328)(213141,213417)(200000,250000)	JASDQU010245356.1	225000	145	0.480942
(610,632)(141008,141055)(100000,150000)	JASDQU010245361.1	125000	24	0.024376
(171,341)(59188,59446)(50000,100000)	JASDQU010245378.1	75000	172	0.034590
(1487,7826)(72951,81543)(50000,100000)	JASDQU010245390.1	75000	6341	0.073031
(1065,1169)(127375,127481)(100000,150000)	JASDQU010250500.1	125000	106	0.078220
(474,1182)(245540,246259)(200000,250000)	JASDQU010252416.1	225000	710	0.022778
(152,596)(279549,294099)(250000,300000)	JASDQU010261483.1	275000	446	0.099728
(673,1369)(78488,79187)(50000,100000)	JASDQU010302581.1	75000	698	0.125481
(1093,1944)(66127,66981)(50000,100000)	JASDQU010305472.1	75000	853	0.186001
(1383,1446)(96710,96781)(50000,100000)	JASDQU010305473.1	75000	65	0.034372
(531,713)(62777,62975)(50000,100000)	JASDQU010305484.1	75000	184	0.022628
(505,1530)(110018,111558)(100000,150000)	JASDQU010305486.1	125000	1027	0.260800
(196,5383)(141189,149999)(100000,150000)	JASDQU010305507.1	125000	5189	0.259837
(857,1547)(51712,52418)(50000,100000)	JASDQU010305515.1	75000	692	0.465854
(3074,7057)(52223,58593)(50000,100000)	JASDQU010305523.1	75000	3985	0.194934
(1492,3012)(61216,74555)(50000,100000)	JASDQU010305533.1	75000	1522	0.274619
(57,525)(121655,122168)(100000,150000)	JASDQU010305538.1	125000	470	-0.019742
(277,445)(250315,250488)(250000,300000)	JASDQU010305570.1	275000	170	0.729726
(731,992)(158376,158746)(150000,200000)	JASDQU010305580.1	175000	263	0.038429
(143,230)(60599,60714)(50000,100000)	JASDQU010305642.1	75000	89	0.026359
(135,751)(103333,104043)(100000,150000)	JASDQU010305663.1	125000	618	0.117852
(123,218)(151740,151837)(150000,200000)	JASDQU010305701.1	175000	97	0.039639
(205,367)(83091,83521)(50000,100000)	JASDQU010305702.1	75000	164	0.606526
(216,258)(73560,73642)(50000,100000)	JASDQU010305743.1	75000	44	0.011408
(489,1064)(62123,62733)(50000,100000)	JASDQU010305747.1	75000	577	0.173882
(73,308)(62972,63233)(50000,100000)	JASDQU010305823.1	75000	237	0.160767
(1287,1830)(95335,95914)(50000,100000)	JASDQU010305824.1	75000	545	0.601574
(778,1560)(106088,106899)(100000,150000)	JASDQU010305831.1	125000	784	0.056473
(2591,3555)(51106,61502)(50000,100000)	JASDQU010305843.1	75000	966	0.065166
(141,796)(135897,136592)(100000,150000)	JASDQU010305915.1	125000	657	0.286082
(524,773)(63221,68038)(50000,100000)	JASDQU010305943.1	75000	251	0.019362
(766,1313)(84882,85440)(50000,100000)	JASDQU010305954.1	75000	549	0.210595
(1777,2563)(50000,51045)(50000,100000)	JASDQU010305958.1	75000	788	0.072631
(1042,1707)(113011,136418)(100000,150000)	JASDQU010305961.1	125000	667	0.400806
(649,854)(151537,163903)(150000,200000)	JASDQU010306048.1	175000	207	0.022116
(288,1908)(76291,78010)(50000,100000)	JASDQU010306077.1	75000	1622	0.466745
(580,825)(91753,96541)(50000,100000)	JASDQU010306104.1	75000	247	0.141245
(1161,3471)(139008,141322)(100000,150000)	JASDQU010306127.1	125000	2312	0.097900
(939,1096)(62335,81444)(50000,100000)	JASDQU010306189.1	75000	159	0.007978
(130,305)(74163,74353)(50000,100000)	JASDQU010306217.1	75000	177	0.090521
(328,1081)(75805,76660)(50000,100000)	JASDQU010306243.1	75000	755	0.304509
(88,5130)(160987,169236)(150000,200000)	JASDQU010306250.1	175000	5044	0.152682
(1145,3292)(106894,109474)(100000,150000)	JASDQU010306263.1	125000	2149	0.211761
(359,709)(112434,128700)(100000,150000)	JASDQU010306281.1	125000	352	0.034543
(1290,1864)(112061,125061)(100000,150000)	JASDQU010306330.1	125000	576	0.127651
(1388,1431)(68166,68269)(50000,100000)	JASDQU010306349.1	75000	45	0.036465
(858,1392)(110531,111152)(100000,150000)	JASDQU010306355.1	125000	536	0.224222
(364,2815)(146668,149398)(100000,150000)	JASDQU010306389.1	125000	2453	0.225636
(868,1755)(159925,160821)(150000,200000)	JASDQU010306450.1	175000	889	0.327473
(3177,3664)(100000,100974)(100000,150000)	JASDQU010306459.1	125000	489	0.271988
(786,2240)(161339,172576)(150000,200000)	JASDQU010306485.1	175000	1456	0.360153
(632,2239)(77001,82500)(50000,100000)	JASDQU010306490.1	75000	1609	0.269102
(564,634)(50000,50072)(50000,100000)	JASDQU010306492.1	75000	72	0.327345
(5145,6014)(108987,109880)(100000,150000)	JASDQU010306604.1	125000	871	0.188938
(10,687)(80688,84434)(50000,100000)	JASDQU010306653.1	75000	679	0.194739
(1185,1899)(77643,94902)(50000,100000)	JASDQU010306667.1	75000	716	0.459767
(760,763)(99614,99617)(50000,100000)	JASDQU010306690.1	75000	5	0.031495
(1575,2233)(54571,55239)(50000,100000)	JASDQU010306765.1	75000	660	0.064588
(1204,1227)(130708,130739)(100000,150000)	JASDQU010306769.1	125000	25	0.041021
(1228,2020)(175288,176087)(150000,200000)	JASDQU010306769.1	175000	794	0.127180
(1882,1947)(150000,150406)(150000,200000)	JASDQU010306792.1	175000	67	0.434860
(1695,2070)(87161,91927)(50000,100000)	JASDQU010306800.1	75000	377	0.056736
(964,1788)(70120,70963)(50000,100000)	JASDQU010306812.1	75000	826	0.384220
(243,3047)(125446,133439)(100000,150000)	JASDQU010306826.1	125000	2806	0.316453
(672,784)(162370,162533)(150000,200000)	JASDQU010306838.1	175000	114	0.004896
(1169,1800)(52775,53438)(50000,100000)	JASDQU010306904.1	75000	633	0.361155
(131,2883)(60599,64206)(50000,100000)	JASDQU010306916.1	75000	2754	0.106276
(830,896)(51490,51559)(50000,100000)	JASDQU010306933.1	75000	68	-0.018605
(51,2986)(67791,70859)(50000,100000)	JASDQU010307009.1	75000	2937	0.049453
(50,599)(203572,204283)(200000,250000)	JASDQU010307044.1	225000	551	0.021858
(1023,1210)(146724,146915)(100000,150000)	JASDQU010307115.1	125000	189	0.007062
(583,712)(236508,236638)(200000,250000)	JASDQU010307131.1	225000	131	0.136321
(47,186)(107541,107801)(100000,150000)	JASDQU010307196.1	125000	141	0.584061
(130,758)(68967,73199)(50000,100000)	JASDQU010307231.1	75000	630	0.041496
(3814,7439)(56652,74256)(50000,100000)	JASDQU010307247.1	75000	3627	0.249783
(836,2808)(97783,99781)(50000,100000)	JASDQU010307334.1	75000	1974	0.099306
(228,495)(199712,199999)(150000,200000)	JASDQU010307348.1	175000	269	0.258756
(476,586)(220491,220602)(200000,250000)	JASDQU010307357.1	225000	112	0.025620
(292,1759)(60060,66242)(50000,100000)	JASDQU010307373.1	75000	1469	0.030512
(146,790)(160677,161327)(150000,200000)	JASDQU010307395.1	175000	646	0.068561
(603,1025)(61442,67787)(50000,100000)	JASDQU010307399.1	75000	424	0.055934
(2586,2619)(69795,69846)(50000,100000)	JASDQU010307403.1	75000	35	0.045774
(125,201)(80665,80783)(50000,100000)	JASDQU010307404.1	75000	78	0.034366
(200,883)(89746,90434)(50000,100000)	JASDQU010307429.1	75000	685	0.077437
(921,1205)(50000,50285)(50000,100000)	JASDQU010307468.1	75000	286	0.360025
(493,3143)(56250,59475)(50000,100000)	JASDQU010307485.1	75000	2652	0.088565
(682,1084)(109040,109444)(100000,150000)	JASDQU010307526.1	125000	404	0.113123
(716,732)(74592,74636)(50000,100000)	JASDQU010307536.1	75000	18	0.051231
(161,688)(53468,54005)(50000,100000)	JASDQU010307542.1	75000	529	0.140799
(271,1904)(57042,80366)(50000,100000)	JASDQU010307562.1	75000	1635	0.228900
(1018,1054)(152727,152768)(150000,200000)	JASDQU010307583.1	175000	38	0.615643
(3668,5321)(50325,52935)(50000,100000)	JASDQU010307663.1	75000	1655	0.074291
(797,1028)(54450,54706)(50000,100000)	JASDQU010307703.1	75000	233	0.124909
(584,665)(100002,100103)(100000,150000)	JASDQU010307822.1	125000	83	0.567371
(114,816)(86517,87219)(50000,100000)	JASDQU010307871.1	75000	704	-0.001703
(972,1584)(193150,193796)(150000,200000)	JASDQU010307888.1	175000	614	0.216407
(990,990)(99959,99959)(50000,100000)	JASDQU010307891.1	75000	2	0.032525
(64,1675)(56070,58403)(50000,100000)	JASDQU010307914.1	75000	1613	0.246580
(883,2249)(50000,83336)(50000,100000)	JASDQU010307920.1	75000	1368	0.325552
(1239,1639)(74511,75103)(50000,100000)	JASDQU010307922.1	75000	402	0.267089
(504,4531)(222610,248955)(200000,250000)	JASDQU010307937.1	225000	4029	0.313219
(254,1238)(171364,172422)(150000,200000)	JASDQU010307992.1	175000	986	0.407502
(801,1308)(123159,123683)(100000,150000)	JASDQU010308034.1	125000	509	0.030232
(969,1397)(100143,100730)(100000,150000)	JASDQU010308043.1	125000	430	0.391290
(1246,2688)(103632,118131)(100000,150000)	JASDQU010308076.1	125000	1444	0.003042
(620,2204)(57992,65415)(50000,100000)	JASDQU010308096.1	75000	1586	0.108363
(1196,2238)(62030,63836)(50000,100000)	JASDQU010308097.1	75000	1044	0.334015
(2535,2863)(62319,65702)(50000,100000)	JASDQU010308127.1	75000	330	0.055023
(2013,2928)(65590,66518)(50000,100000)	JASDQU010308128.1	75000	917	0.191503
(2929,3122)(163941,164134)(150000,200000)	JASDQU010308128.1	175000	195	0.373088
(3123,3494)(211564,211979)(200000,250000)	JASDQU010308128.1	225000	373	0.011113
(1237,1869)(154284,154999)(150000,200000)	JASDQU010308133.1	175000	634	0.292104
(351,847)(128237,137851)(100000,150000)	JASDQU010308138.1	125000	498	0.025735
(5037,5057)(52684,52802)(50000,100000)	JASDQU010308170.1	75000	22	0.049767
(988,2094)(158518,160056)(150000,200000)	JASDQU010308276.1	175000	1108	0.112920
(1276,3511)(67290,70315)(50000,100000)	JASDQU010308281.1	75000	2237	0.173073
(1687,2528)(52532,53383)(50000,100000)	JASDQU010308362.1	75000	843	0.094062
(1737,2417)(50000,50691)(50000,100000)	JASDQU010308438.1	75000	682	0.375839
(458,585)(64229,64362)(50000,100000)	JASDQU010308445.1	75000	129	0.116027
(752,881)(104829,104967)(100000,150000)	JASDQU010308450.1	125000	131	0.062726
(230,365)(73660,73810)(50000,100000)	JASDQU010308477.1	75000	137	0.195514
(366,1494)(130163,149999)(100000,150000)	JASDQU010308477.1	125000	1130	0.173968
(424,3191)(84777,88609)(50000,100000)	JASDQU010308496.1	75000	2769	0.482294
(545,1536)(61910,77263)(50000,100000)	JASDQU010308534.1	75000	993	0.139998
(498,828)(136597,136929)(100000,150000)	JASDQU010308617.1	125000	332	0.004659
(3031,4864)(53006,56434)(50000,100000)	JASDQU010308619.1	75000	1835	0.562897
(58,137)(68528,68615)(50000,100000)	JASDQU010308620.1	75000	81	0.036611
(466,800)(88101,88649)(50000,100000)	JASDQU010308676.1	75000	336	0.008153
(79,348)(94165,96333)(50000,100000)	JASDQU010308762.1	75000	271	0.114388
(871,1341)(106858,107339)(100000,150000)	JASDQU010308824.1	125000	472	0.356168
(449,623)(154820,155191)(150000,200000)	JASDQU010308827.1	175000	176	-0.004946
(2389,2452)(107840,107995)(100000,150000)	JASDQU010308861.1	125000	65	0.075146
(1020,1819)(55606,56415)(50000,100000)	JASDQU010308944.1	75000	801	0.224754
(45,833)(112967,125720)(100000,150000)	JASDQU010308960.1	125000	790	0.208467
(1103,1650)(103594,104465)(100000,150000)	JASDQU010308988.1	125000	549	0.183594
(293,1623)(82336,84218)(50000,100000)	JASDQU010308999.1	75000	1332	0.160202
(406,1916)(121445,126199)(100000,150000)	JASDQU010309011.1	125000	1512	0.053776
(296,1061)(80330,81135)(50000,100000)	JASDQU010309023.1	75000	767	0.129688
(224,1248)(75698,79870)(50000,100000)	JASDQU010309134.1	75000	1026	0.244721
(95,654)(107871,108455)(100000,150000)	JASDQU010309135.1	125000	561	0.145124
(963,1134)(63572,63805)(50000,100000)	JASDQU010309158.1	75000	173	0.009587
(1091,1513)(53487,53986)(50000,100000)	JASDQU010309175.1	75000	424	0.025860
(180,313)(87451,87589)(50000,100000)	JASDQU010309198.1	75000	135	0.276541
(476,667)(91278,91471)(50000,100000)	JASDQU010309204.1	75000	193	0.025939
(1181,1763)(68454,69066)(50000,100000)	JASDQU010309208.1	75000	584	0.046717
(656,1391)(67470,68278)(50000,100000)	JASDQU010309213.1	75000	737	0.021570
(56,170)(85945,90440)(50000,100000)	JASDQU010309278.1	75000	116	0.099259
(1086,1455)(52651,53327)(50000,100000)	JASDQU010309305.1	75000	371	0.286559
(2603,2976)(50000,50373)(50000,100000)	JASDQU010309320.1	75000	375	0.236224
(747,1749)(121770,140289)(100000,150000)	JASDQU010309325.1	125000	1004	0.305517
(133,866)(51882,64856)(50000,100000)	JASDQU010309347.1	75000	735	0.074268
(385,829)(123530,124094)(100000,150000)	JASDQU010309400.1	125000	446	0.158748
(1197,2243)(50000,53433)(50000,100000)	JASDQU010309453.1	75000	1048	0.117854
(1108,2374)(91844,93142)(50000,100000)	JASDQU010309477.1	75000	1268	0.604307
(128,551)(68223,76802)(50000,100000)	JASDQU010309737.1	75000	425	0.167270
(2317,3184)(108301,109178)(100000,150000)	JASDQU010309764.1	125000	869	0.283870
(26,821)(56002,68593)(50000,100000)	JASDQU010309804.1	75000	797	0.255156
(1200,1417)(56772,57083)(50000,100000)	JASDQU010309848.1	75000	219	0.014363
(8,573)(92146,97586)(50000,100000)	JASDQU010309880.1	75000	567	0.130762
(1107,3594)(100551,147183)(100000,150000)	JASDQU010309917.1	125000	2489	0.603158
